received_at,from_addr,subject,size_kb,unread
2025-01-01T15:11:00Z,digest@news.example,Re: Re: lunch?,132,false
2025-01-01T20:57:00Z,billing@acme.test,"Standup notes, 14 May",651,false
2025-01-01T18:22:00Z,digest@news.example,"She said ""ship it"" — so we did",327,false
2025-01-01T15:30:00Z,team@work.example,Your order has shipped,743,false
2025-01-02T17:02:00Z,digest@news.example,Re: Re: lunch?,283,false
2025-01-03T13:27:00Z,no-reply@shop.example,"Renewal reminder, action needed",635,false
2025-01-03T18:08:00Z,billing@acme.test,"She said ""ship it"" — so we did",718,false
2025-01-03T21:57:00Z,no-reply@shop.example,"Renewal reminder, action needed",354,true
2025-01-04T15:03:00Z,digest@news.example,"She said ""ship it"" — so we did",18,false
2025-01-06T19:58:00Z,no-reply@shop.example,Re: Re: lunch?,132,false
2025-01-06T08:59:00Z,no-reply@shop.example,"Renewal reminder, action needed",286,false
2025-01-06T21:33:00Z,billing@acme.test,Re: Re: lunch?,128,false
2025-01-07T19:29:00Z,no-reply@shop.example,"Re: invoice #2291, revised",41,false
2025-01-07T09:26:00Z,digest@news.example,"Standup notes, 14 May",512,false
2025-01-09T22:31:00Z,digest@news.example,"Re: invoice #2291, revised",425,true
2025-01-09T15:42:00Z,digest@news.example,Your order has shipped,783,true
2025-01-09T22:52:00Z,no-reply@shop.example,"Re: invoice #2291, revised",92,false
2025-01-09T16:04:00Z,no-reply@shop.example,Re: Re: lunch?,474,true
2025-01-10T18:07:00Z,billing@acme.test,Weekly digest,766,false
2025-01-11T18:47:00Z,digest@news.example,Your order has shipped,561,false
2025-01-11T14:35:00Z,no-reply@shop.example,Your order has shipped,242,false
2025-01-12T16:29:00Z,billing@acme.test,"Standup notes, 14 May",263,false
2025-01-12T06:00:00Z,billing@acme.test,Your order has shipped,436,true
2025-01-12T15:07:00Z,digest@news.example,Weekly digest,556,false
2025-01-12T08:10:00Z,digest@news.example,"Re: invoice #2291, revised",839,true
2025-01-12T18:32:00Z,billing@acme.test,Weekly digest,285,true
2025-01-13T15:07:00Z,no-reply@shop.example,Your order has shipped,50,false
2025-01-13T18:14:00Z,no-reply@shop.example,Re: Re: lunch?,178,true
2025-01-13T21:11:00Z,team@work.example,"She said ""ship it"" — so we did",470,false
2025-01-14T21:12:00Z,no-reply@shop.example,"Standup notes, 14 May",65,true
2025-01-15T14:36:00Z,digest@news.example,"She said ""ship it"" — so we did",814,false
2025-01-15T07:47:00Z,digest@news.example,Weekly digest,548,false
2025-01-15T13:56:00Z,billing@acme.test,Re: Re: lunch?,228,false
2025-01-15T08:53:00Z,team@work.example,Re: Re: lunch?,623,false
2025-01-15T11:20:00Z,team@work.example,"Renewal reminder, action needed",315,false
2025-01-16T13:52:00Z,digest@news.example,"She said ""ship it"" — so we did",529,true
2025-01-16T09:54:00Z,billing@acme.test,"Renewal reminder, action needed",809,false
2025-01-16T20:14:00Z,team@work.example,Weekly digest,808,true
2025-01-16T20:16:00Z,team@work.example,Weekly digest,414,false
2025-01-16T20:57:00Z,billing@acme.test,"She said ""ship it"" — so we did",357,true
